"year","avg_daily_temperatures","total_spawners"
2013,"10.2065990160158529","476195"
2014,"10.7262930091967329","813236"
2015,"11.3976036878432247","492405"
2016,"10.9023197553850113","462019"
2017,"10.0530745814307458","291837"
2018,"10.6253725922426914","295965"
2019,"10.9368949983839690","75724"
