"region","year","hot_days","total_spawners"
"Interior Columbia",2013,"266","164237"
"Interior Columbia",2014,"278","185401"
"Interior Columbia",2015,"328","221359"
"Interior Columbia",2016,"305","157948"
"Interior Columbia",2017,"247","71640"
"Interior Columbia",2018,"282","57388"
"Interior Columbia",2019,"268","40767"
