region,year,avg_daily_temperatures,total_spawners
Willamette/Lower Columbia,2013,11.51159817,186245
Willamette/Lower Columbia,2014,12.06410959,265542
Willamette/Lower Columbia,2015,13.14273973,213291
Willamette/Lower Columbia,2016,12.33497268,227196
Willamette/Lower Columbia,2017,11.28931507,158523
Willamette/Lower Columbia,2018,12.06511416,164089
Willamette/Lower Columbia,2019,11.65412088,34957
