ID,Region,WKT,Species,Latitude,Longitude,Population,Year
21,Willamette/Lower Columbia,"POLYGON((-122.2578644 46.25108239, -123.9277863 46.29664568, -123.752005 46.00743829, -123.6641144 44.97546832, -123.7300324 43.92458738, -123.1367707 43.30417708, -122.8291535 43.90875939, -122.2578644 46.25108239))",CHINOOK SALMON,44.810833,-122.538333,186782,2019
22,Willamette/Lower Columbia,"POLYGON((-122.2578644 46.25108239, -123.9277863 46.29664568, -123.752005 46.00743829, -123.6641144 44.97546832, -123.7300324 43.92458738, -123.1367707 43.30417708, -122.8291535 43.90875939, -122.2578644 46.25108239))",STEELHEAD,45.542778,-121.774444,98760,2013
23,Willamette/Lower Columbia,"POLYGON((-122.2578644 46.25108239, -123.9277863 46.29664568, -123.752005 46.00743829, -123.6641144 44.97546832, -123.7300324 43.92458738, -123.1367707 43.30417708, -122.8291535 43.90875939, -122.2578644 46.25108239))",STEELHEAD,45.542778,-121.774444,96341,2014
24,Willamette/Lower Columbia,"POLYGON((-122.2578644 46.25108239, -123.9277863 46.29664568, -123.752005 46.00743829, -123.6641144 44.97546832, -123.7300324 43.92458738, -123.1367707 43.30417708, -122.8291535 43.90875939, -122.2578644 46.25108239))",STEELHEAD,45.542778,-121.774444,101202,2015
25,Willamette/Lower Columbia,"POLYGON((-122.2578644 46.25108239, -123.9277863 46.29664568, -123.752005 46.00743829, -123.6641144 44.97546832, -123.7300324 43.92458738, -123.1367707 43.30417708, -122.8291535 43.90875939, -122.2578644 46.25108239))",STEELHEAD,45.542778,-121.774444,90464,2016
26,Willamette/Lower Columbia,"POLYGON((-122.2578644 46.25108239, -123.9277863 46.29664568, -123.752005 46.00743829, -123.6641144 44.97546832, -123.7300324 43.92458738, -123.1367707 43.30417708, -122.8291535 43.90875939, -122.2578644 46.25108239))",STEELHEAD,45.542778,-121.774444,89475,2017
27,Willamette/Lower Columbia,"POLYGON((-122.2578644 46.25108239, -123.9277863 46.29664568, -123.752005 46.00743829, -123.6641144 44.97546832, -123.7300324 43.92458738, -123.1367707 43.30417708, -122.8291535 43.90875939, -122.2578644 46.25108239))",STEELHEAD,45.542778,-121.774444,84506,2018
28,Willamette/Lower Columbia,"POLYGON((-122.2578644 46.25108239, -123.9277863 46.29664568, -123.752005 46.00743829, -123.6641144 44.97546832, -123.7300324 43.92458738, -123.1367707 43.30417708, -122.8291535 43.90875939, -122.2578644 46.25108239))",STEELHEAD,45.542778,-121.774444,81381,2019
29,Willamette/Lower Columbia,"POLYGON((-122.2578644 46.25108239, -123.9277863 46.29664568, -123.752005 46.00743829, -123.6641144 44.97546832, -123.7300324 43.92458738, -123.1367707 43.30417708, -122.8291535 43.90875939, -122.2578644 46.25108239))",CHUM SALMON,43.898056,-122.612222,35720,2013
30,Willamette/Lower Columbia,"POLYGON((-122.2578644 46.25108239, -123.9277863 46.29664568, -123.752005 46.00743829, -123.6641144 44.97546832, -123.7300324 43.92458738, -123.1367707 43.30417708, -122.8291535 43.90875939, -122.2578644 46.25108239))",CHUM SALMON,43.898056,-122.612222,41899,2014
31,Willamette/Lower Columbia,"POLYGON((-122.2578644 46.25108239, -123.9277863 46.29664568, -123.752005 46.00743829, -123.6641144 44.97546832, -123.7300324 43.92458738, -123.1367707 43.30417708, -122.8291535 43.90875939, -122.2578644 46.25108239))",CHUM SALMON,43.898056,-122.612222,58173,2015
32,Willamette/Lower Columbia,"POLYGON((-122.2578644 46.25108239, -123.9277863 46.29664568, -123.752005 46.00743829, -123.6641144 44.97546832, -123.7300324 43.92458738, -123.1367707 43.30417708, -122.8291535 43.90875939, -122.2578644 46.25108239))",CHUM SALMON,43.898056,-122.612222,94466,2016
33,Willamette/Lower Columbia,"POLYGON((-122.2578644 46.25108239, -123.9277863 46.29664568, -123.752005 46.00743829, -123.6641144 44.97546832, -123.7300324 43.92458738, -123.1367707 43.30417708, -122.8291535 43.90875939, -122.2578644 46.25108239))",CHUM SALMON,43.898056,-122.612222,45910,2017
34,Willamette/Lower Columbia,"POLYGON((-122.2578644 46.25108239, -123.9277863 46.29664568, -123.752005 46.00743829, -123.6641144 44.97546832, -123.7300324 43.92458738, -123.1367707 43.30417708, -122.8291535 43.90875939, -122.2578644 46.25108239))",CHUM SALMON,43.898056,-122.612222,103795,2018
35,Oregon Coast,"POLYGON ((-123.9937043 46.39288438, -124.521048 42.77977892, -122.9390168 42.76364956, -123.180716 43.27770481, -123.8398957 43.96168448, -123.6860871 44.87192896, -123.752005 45.95162669, -123.9937043 46.39288438))",COHO SALMON,44.197778,-123.903889,675845,2013
36,Oregon Coast,"POLYGON ((-123.9937043 46.39288438, -124.521048 42.77977892, -122.9390168 42.76364956, -123.180716 43.27770481, -123.8398957 43.96168448, -123.6860871 44.87192896, -123.752005 45.95162669, -123.9937043 46.39288438))",COHO SALMON,44.197778,-123.903889,727160,2014
37,Oregon Coast,"POLYGON ((-123.9937043 46.39288438, -124.521048 42.77977892, -122.9390168 42.76364956, -123.180716 43.27770481, -123.8398957 43.96168448, -123.6860871 44.87192896, -123.752005 45.95162669, -123.9937043 46.39288438))",COHO SALMON,44.197778,-123.903889,735722,2015
38,Oregon Coast,"POLYGON ((-123.9937043 46.39288438, -124.521048 42.77977892, -122.9390168 42.76364956, -123.180716 43.27770481, -123.8398957 43.96168448, -123.6860871 44.87192896, -123.752005 45.95162669, -123.9937043 46.39288438))",COHO SALMON,44.197778,-123.903889,746818,2016
39,Oregon Coast,"POLYGON ((-123.9937043 46.39288438, -124.521048 42.77977892, -122.9390168 42.76364956, -123.180716 43.27770481, -123.8398957 43.96168448, -123.6860871 44.87192896, -123.752005 45.95162669, -123.9937043 46.39288438))",COHO SALMON,44.197778,-123.903889,753686,2017
40,Oregon Coast,"POLYGON ((-123.9937043 46.39288438, -124.521048 42.77977892, -122.9390168 42.76364956, -123.180716 43.27770481, -123.8398957 43.96168448, -123.6860871 44.87192896, -123.752005 45.95162669, -123.9937043 46.39288438))",COHO SALMON,44.197778,-123.903889,720953,2018
